STATEFIP,COUNTY,observations,employment,members,covered
26,26021,676,73619.0645316667,10100.94493,10408.6611691667
26,26025,572,67357.0195491667,10452.158725,11367.18346
26,26049,1397,157139.004075833,29433.3835175,31181.8758991667
26,26075,1021,111915.241651667,20876.8175983333,24070.8728266667
26,26081,2979,330668.9877325,31286.87048,34072.5186558333
26,26093,481,55620.2491558333,6973.9846375,8291.90763166667
26,26099,3538,402019.023980833,59674.1504049999,61383.0896649999
26,26115,1115,124718.667265,30481.0050058333,30676.3664683333
26,26121,969,105854.811020833,13972.2216008333,14647.24117
26,26125,5666,642199.836425833,71371.9161250001,79305.8230116667
26,26139,608,61868.0557633334,6828.49508916666,6828.49508916666
26,26145,715,76296.6276441667,17042.0307033333,17949.8389391667
26,26147,415,43509.1316425,9819.11490583334,9913.95879
26,26161,1435,161233.752789167,21169.7231966666,22861.8306
26,26163,5924,696610.172325001,130970.364581667,138003.119193334
27,00000,25743,2018161.55380083,277009.175490833,292485.261659166
27,27003,2408,193063.736005,29710.97566,31469.56026
27,27037,1387,78027.4069416668,11523.9052791667,12223.9045591667
27,27123,3278,263117.799585,45310.3793008333,47113.41548
27,27137,769,42678.8877866667,12290.3663958333,12694.0457358333
27,27139,331,38090.035565,6164.57664833333,6480.36090833333
27,27163,1855,143314.068504167,22277.2800675,23534.8125275
27,27171,310,34111.4788,7889.3393,8296.92029416666
28,00000,22459,1188278.41286667,61727.5291441668,78547.3035933334
29,00000,20602,2126691.61703834,194945.3531275,224535.668526667
29,29019,425,38873.0147875,1957.46134833333,2459.55557333333
29,29071,232,25155.8105575,2923.07531583333,3109.7735575
29,29099,969,99756.5798574999,13150.8643391667,13839.52691
29,29189,5248,551874.393326667,55027.7243841666,59755.2555616666
30,00000,20340,371527.652040004,46209.4503508332,52525.4564108332
30,30111,4198,78276.1823658334,9013.77555666666,10386.862505
31,00000,22165,756776.955978334,58381.1318949999,70664.0125508332
31,31055,3838,161586.143153334,12790.0814425,14641.9857941667
31,31153,1146,35374.7495816666,2789.8384425,3400.86621083333
32,00000,6829,355045.869057499,34688.217045,40866.6513558333
32,32003,17497,963924.42253083,149757.1396925,169009.95846
33,00000,22851,404637.478999998,39669.1950233334,45677.8379916667
33,33011,4569,126899.72308,13434.8069933333,14633.1686325
33,33013,1564,42833.6697266666,4990.90361,5844.15429
33,33015,3547,95323.3016408335,9753.70542833333,11408.790205
33,33017,1247,33694.387545,3613.5445225,4206.62987166666
34,00000,8871,992928.092164163,167081.383691667,175129.682565834
34,34001,708,75245.0496591667,16577.7892858333,17534.0768616667
34,34003,4191,460516.381255834,61872.1228158333,64816.4924633334
34,34005,2062,228541.907202501,45450.4299266667,47453.6688
34,34007,2003,225092.266013333,41364.8797516666,47267.621165
34,34009,160,16663.0510266667,2188.8414425,2188.8414425
34,34011,526,62052.3589616667,13902.7497625,14116.6178158333
34,34013,2771,351523.880872501,71334.0924433333,77235.6092016666
34,34017,2759,328579.727925,35005.644125,38011.8558016667
34,34019,604,64454.2384925,8021.37849,8627.8135675
34,34021,1329,153221.063559167,23005.2209358333,24796.2490533333
34,34023,2037,246002.021871667,33844.6199391667,35914.7469991667
34,34025,1179,123388.568455,21735.8464041667,22407.234505
34,34027,2595,281316.897439167,40577.4294941667,42633.5067608334
34,34029,1015,107833.788735833,18949.3020025,20259.0837966667
34,34031,969,110625.172725833,16236.5530233333,16859.7975575
34,34035,1609,175046.6326025,19064.8531291667,19760.3184558333
34,34037,612,66562.2976916667,11154.4315608333,12741.3961775
34,34039,1292,160013.204630833,29453.0296508333,30136.14553
