geoid,name,STATEFIP,observations,employment,members,covered
"0843000",Lakewood,"8","312",38614.6081516667,2303.72238583333,2824.54838583333
"0908000",Bridgeport,"9","184",20753.1697491667,1930.013445,1930.013445
"0937000",Hartford,"9","218",24061.8586416667,3480.61111583333,3885.62507833333
"0973000",Stamford,"9","393",41509.4659416667,4169.48579166667,4548.41179916667
"1150000",Washington,"11","14564",174861.198579168,16463.8289891667,18770.46281
"1224000",Fort Lauderdale,"12","257",35196.2876083333,1715.22004,1990.46238333333
"1245000",Miami,"12","608",87681.0958183334,3839.70474583333,5090.536095
"1253000",Orlando,"12","634",83913.1325316666,6253.98320666667,6846.96683916667
"1263000",St. Petersburg,"12","368",46827.185235,1610.08199,2307.5172525
"1271000",Tampa,"12","683",92989.6470566665,3484.44778666667,4461.39435083333
"1304000",Atlanta,"13","752",102706.3221125,5041.41344666667,6655.20427583333
"1714000",Chicago,"17","4111",567032.822515834,81101.2433516666,85348.2855816666
"1723074",Elgin,"17","277",38252.3409008333,4086.56805083333,4086.56805083333
"1738570",Joliet city,"17","289",34384.834945,5933.29428916667,6460.973825
"1751622",Naperville,"17","276",37086.0586641666,4375.82330083333,4864.22972416667
"1836003",Indianapolis city (balance),"18","1705",205410.546199166,16214.4146825,18755.9307175
"2036000",Kansas City,"20","412",27827.6956825,3010.9591525,3277.73716833333
"2053775",Overland Park,"20","719",44392.5996841666,1673.88549333333,2181.3122825
"2250115",Metairie,"22","598",34954.9556125,2331.2497175,2594.59969166667
"2255000",New Orleans,"22","1143",68235.3864708333,4170.31355166667,4946.85817666667
"2404000",Baltimore,"24","778",113277.553876667,16350.0302975,17287.3966808333
"2507000",Boston,"25","1577",161030.117546667,16537.7324766667,18238.7239291667
"2511000",Cambridge,"25","390",37606.6533766667,2268.81922416667,2453.14185583333
"2622000",Detroit,"26","658",94050.2311116667,21016.8683533333,22230.7201066666
"2684000",Warren,"26","229",30120.9696616667,6544.0791675,6544.0791675
"2743000",Minneapolis,"27","890",113768.338338333,15397.9452258333,16037.820725
"2758000",St. Paul,"27","530",67806.1546908333,11768.8286008333,12330.4378375
"2938000",Kansas City,"20","1439",161086.562925834,16800.4139158333,18564.9744033333
"3231900",Henderson,"32","1036",65615.3992783334,7552.1117275,9644.9357175
"3240000",Las Vegas,"32","2200",141678.890959167,20606.92279,23517.8975516667
"3254600",Paradise,"32","837",54036.8445416667,7881.1938375,9171.07081833334
"3436000",Jersey City,"34","541",72847.8293525001,7605.06874916667,8473.60846916667
"3451000",Newark,"34","394",61705.734465,14909.1129258333,17473.7586683333
"3611000",Buffalo,"36","351",49815.4947333333,10087.8286291667,10783.373915
"3651000",New York,"36","12917",1749178.63407001,387598.73182,421557.7470725
"3712000",Charlotte,"37","1608",206286.1217425,10241.49812,11472.4209283333
"4159000",Portland,"41","2199",163887.4970325,25015.6122233333,26410.6269391667
"4459000",Providence,"44","961",34210.2716283334,4253.99683833333,4643.70889083333
"4752006",Nashville-Davidson metropolitan government (balance),"47","1488",156001.0165225,9232.90531416667,10083.752175
"4804000",Arlington,"48","635",90754.3169591667,5651.20276166667,6681.1040125
"4813024",Carrollton city,"48","191",26534.9055983333,301.532105,472.130806666667
"4819000",Dallas,"48","2067",296657.444965,10779.275555,20169.7035891667
"4827000",Fort Worth,"48","1522",216578.568259167,13585.7409725,15028.3717925
"4835000",Houston,"48","3636",524574.577864999,17969.8126075,21589.6285166667
"4837000",Irving,"48","433",63107.4964633333,1256.28787,1615.26745416667
"4845384",McAllen,"48","131",15848.8061066667,375.103586666667,503.84177
"4858016",Plano,"48","471",62621.6275008334,2948.013835,3789.24622083333
"5103000",Arlington,"51","519",65801.6913791667,3261.64005583333,4734.7867625
"5156000",Newport News,"51","252",35462.2051408333,3017.1373625,4028.37310166667
"5157000",Norfolk,"51","372",52537.6666716666,1737.1896125,1881.47862333333
"5182000",Virginia Beach,"51","849",110739.562298333,6367.222305,9761.40697916666
"5305210",Bellevue,"53","290",33755.1475541667,2017.2231,2112.09474833333
"5322640",Everett,"53","216",24080.1561,4044.98616666667,4317.51677916667
"5363000",Seattle,"53","1676",189723.531451667,25268.5727841666,27365.4353016666
"5370000",Tacoma,"53","471",53329.1216125,12223.0809716667,13202.5923908333
"5553000",Milwaukee,"55","1014",132986.934805833,12742.2771958333,14489.1530891667
